210213 19:56:53,55.63
210213 20:06:51,55.39
210213 20:16:48,55.24
210213 20:26:46,55.16
210213 20:36:43,55.08
210213 20:46:41,56.02
210213 20:56:38,55.24
210213 21:06:35,54.93
210213 21:16:33,54.78
210213 21:26:30,54.7
210213 21:36:28,57.47
210213 21:46:25,49.07
210213 21:56:22,46.29
210213 22:06:20,42.79
210213 22:16:17,43.38
210213 22:26:15,43.26
210213 22:36:12,43.14
210213 22:46:10,43.09
210213 22:56:07,42.91
210213 23:06:05,42.62
210213 23:16:02,42.62
210213 23:26:00,42.44
210213 23:35:57,42.33
210213 23:45:54,42.21
210213 23:55:52,42.16
220213 00:05:49,41.98
220213 00:15:47,41.81
220213 00:25:44,41.76
220213 00:35:42,41.64
220213 00:45:39,41.58
220213 00:55:36,41.53
220213 01:05:34,41.47
220213 01:15:31,41.24
220213 01:25:29,41.19
220213 01:35:26,41.13
220213 01:45:23,41.02
220213 01:55:20,41.02
220213 02:05:18,40.85
220213 02:15:15,40.68
220213 02:25:13,40.74
220213 02:35:10,40.63
220213 02:45:07,40.51
220213 02:55:05,40.57
220213 03:05:18,40.46
220213 03:15:18,40.51
220213 03:55:03,40.07
220213 04:04:59,40.01
220213 04:15:01,39.96
220213 04:25:00,39.9
220213 04:44:49,39.9
220213 04:54:48,39.96
220213 05:14:46,41.3
230213 18:24:39,0.0
230213 18:34:37,0.0
230213 18:44:34,0.0
230213 18:54:31,0.0
230213 19:04:28,0.0
230213 19:14:26,0.0
230213 19:24:23,0.0
230213 19:34:21,0.0
230213 19:54:15,0.0
230213 20:04:12,0.0
230213 21:23:51,2.54
230213 21:44:00,2.55
230213 21:53:46,2.55
230213 22:03:40,2.54
230213 22:13:38,2.54
230213 22:23:35,2.54
230213 22:33:34,2.54
230213 22:43:30,2.54
230213 22:53:28,2.54
230213 23:03:25,2.53
230213 23:13:23,2.53
230213 23:23:21,2.53
230213 23:33:18,2.52
230213 23:43:15,2.52
230213 23:53:12,2.52
240213 00:03:09,2.52
240213 00:13:06,2.51
240213 00:23:03,2.51
240213 00:33:00,2.51
240213 00:42:58,2.51
240213 00:52:55,2.51
240213 01:02:52,2.51
240213 01:12:49,2.5
